time,open,high,low,close,volume,trade
2018-04-23,620.67000000,649.11000000,618.02000000,645.09000000,77475.70793000,39248.30497000
2018-04-24,644.58000000,712.99000000,643.76000000,701.58000000,171437.66972000,91426.36964000
2018-04-25,701.16000000,703.30000000,593.83000000,618.00000000,341439.50428000,168602.81904000
2018-04-26,617.73000000,666.19000000,600.00000000,661.51000000,155754.00815000,76481.83444000
2018-04-27,661.51000000,686.82000000,635.73000000,643.46000000,134803.48389000,65494.83214000
2018-04-28,643.41000000,694.90000000,638.76000000,682.86000000,113128.36337000,58734.58851000
2018-04-29,683.50000000,700.49000000,665.28000000,690.85000000,110020.23869000,52218.32161000
2018-04-30,690.85000000,695.30000000,662.20000000,670.78000000,112494.91720000,56599.46199000
2018-05-01,670.78000000,675.60000000,627.58000000,672.00000000,133123.66675000,60363.54848000
2018-05-02,671.99000000,691.99000000,663.00000000,688.56000000,86185.50330000,47460.17330000
2018-05-03,688.55000000,792.08000000,685.39000000,779.00000000,229419.20900000,118584.02308000
2018-05-04,779.00000000,810.00000000,756.91000000,785.99000000,179924.40215000,90632.87892000
2018-05-05,785.80000000,832.66000000,781.56000000,819.50000000,128631.18764000,68646.32685000
2018-05-06,819.50000000,839.99000000,752.49000000,794.30000000,166871.16002000,83663.13801000
2018-05-07,794.30000000,799.14000000,701.00000000,752.49000000,284237.06328000,128638.27791000
2018-05-08,753.00000000,777.00000000,720.02000000,748.99000000,135106.19621000,65785.64028000
2018-05-09,748.99000000,760.74000000,710.26000000,751.75000000,112353.37758000,56905.42297000
2018-05-10,752.40000000,769.88000000,720.00000000,722.52000000,102019.29933000,51561.01377000
2018-05-11,722.52000000,737.23000000,663.00000000,676.96000000,216953.54991000,101003.74344000
2018-05-12,676.96000000,690.20000000,633.20000000,684.11000000,166801.07487000,78843.94356000
2018-05-13,684.56000000,742.00000000,666.31000000,729.08000000,136022.39207000,70003.23059000
2018-05-14,729.08000000,743.90000000,686.00000000,727.49000000,183466.92240000,89358.81076000
2018-05-15,727.49000000,740.00000000,695.00000000,704.91000000,127191.21863000,65194.99165000
2018-05-16,704.91000000,712.84000000,673.52000000,706.29000000,118902.46895000,59502.98405000
2018-05-17,706.80000000,719.25000000,662.00000000,667.62000000,106723.38375000,51643.55118000
2018-05-18,667.62000000,694.90000000,656.00000000,692.60000000,106541.66307000,54699.90084000
2018-05-19,693.26000000,717.80000000,682.31000000,697.00000000,88828.85641000,45052.07989000
2018-05-20,697.00000000,729.88000000,688.40000000,716.16000000,86004.74090000,43571.09472000
2018-05-21,716.16000000,720.46000000,688.00000000,696.70000000,96085.15451000,43697.48560000
2018-05-22,697.10000000,699.60000000,637.32000000,640.99000000,107059.57690000,50607.50277000
2018-05-23,640.86000000,669.00000000,560.00000000,577.19000000,257099.77096000,120864.87161000
2018-05-24,577.19000000,612.10000000,550.00000000,602.18000000,195854.62497000,97510.70429000
2018-05-25,602.08000000,617.46000000,568.70000000,585.55000000,118076.26273000,58137.51406000
2018-05-26,585.56000000,607.62000000,578.32000000,586.00000000,77654.12532000,39888.62561000
2018-05-27,586.03000000,592.00000000,557.43000000,570.40000000,97097.26713000,49860.49139000
2018-05-28,570.81000000,576.20000000,506.11000000,511.50000000,153197.83278000,72896.65930000
2018-05-29,511.50000000,573.43000000,510.00000000,567.36000000,189082.83788000,98238.03770000
2018-05-30,567.09000000,585.83000000,541.20000000,557.19000000,122132.27010000,62301.91063000
2018-05-31,557.87000000,586.73000000,552.98000000,577.81000000,100101.52276000,52802.56771000
2018-06-01,577.81000000,590.26000000,564.93000000,579.00000000,83840.84162000,43154.52060000
2018-06-02,579.00000000,599.17000000,572.90000000,590.85000000,80258.14719000,34652.44538000
2018-06-03,590.85000000,628.81000000,590.10000000,619.66000000,84123.33235000,40226.93765000
2018-06-04,619.66000000,625.47000000,580.15000000,591.02000000,96339.44507000,49160.85834000
2018-06-05,591.02000000,614.00000000,570.36000000,609.05000000,89053.74351000,44401.66940000
2018-06-06,609.29000000,613.35000000,593.40000000,607.40000000,70152.92117000,32056.28186000
2018-06-07,606.68000000,618.00000000,598.24000000,605.16000000,60174.18880000,26952.13447000
2018-06-08,605.20000000,608.45000000,593.33000000,598.68000000,49228.00755000,23316.17774000
2018-06-09,599.29000000,608.97000000,591.00000000,592.87000000,38908.06530000,19934.76281000
2018-06-10,592.44000000,592.87000000,501.13000000,524.11000000,190350.58429000,93837.46324000
2018-06-11,524.64000000,535.51000000,508.66000000,531.69000000,145813.07819000,77140.98055000
2018-06-12,531.08000000,538.88000000,482.00000000,493.00000000,158223.14812000,81506.65862000
2018-06-13,493.00000000,501.97000000,449.06000000,475.47000000,181842.19417000,89431.85711000
2018-06-14,475.47000000,529.00000000,460.00000000,519.29000000,206093.07330000,102710.51082000
2018-06-15,519.30000000,521.00000000,481.62000000,487.48000000,160532.53607000,84537.20797000
2018-06-16,487.47000000,503.28000000,483.72000000,496.74000000,131095.45173000,76269.81785000
2018-06-17,496.45000000,507.60000000,492.70000000,497.14000000,117316.93221000,67766.32893000
2018-06-18,497.15000000,524.48000000,487.27000000,517.95000000,143826.68272000,82746.72120000
2018-06-19,517.77000000,548.20000000,510.01000000,537.97000000,148148.38064000,81412.28126000
2018-06-20,537.68000000,542.02000000,515.08000000,536.49000000,123892.04240000,64181.93764000
2018-06-21,536.34000000,544.98000000,521.11000000,526.18000000,79862.90544000,37743.66385000
2018-06-22,526.32000000,526.44000000,450.00000000,462.09000000,212659.53437000,96751.89677000
2018-06-23,462.40000000,481.00000000,455.00000000,473.41000000,94465.26834000,46591.24954000
2018-06-24,473.40000000,475.81000000,419.53000000,454.41000000,198264.10079000,96864.99156000
2018-06-25,454.29000000,474.47000000,444.37000000,458.70000000,122942.11650000,61114.96078000
2018-06-26,459.04000000,460.81000000,429.00000000,429.34000000,84003.09976000,45306.56025000
2018-06-27,429.81000000,445.95000000,420.19000000,441.64000000,99156.36437000,51876.04316000
2018-06-28,441.36000000,443.96000000,416.45000000,420.22000000,112309.56714000,57541.85073000
2018-06-29,420.48000000,442.00000000,404.48000000,434.77000000,159495.30942000,83281.89126000
